kind,key,websiteSku,neck,reason,evidence,action
component,CMP-PLUG-BLK-VIAL,REF-CMP-PLUG-BLK-VIAL,,family=Plug/Applicator,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-PLUG-WHT-VIAL,REF-CMP-PLUG-WHT-VIAL,,family=Plug/Applicator,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-ROC-WHT-03,CPWhite1Oz,,family=Roll-On Cap,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-SPR-LVN-BULB,AntqSprBulbLavender,,family=Sprayer; SKU/name says bulb,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-CAP-SBLK-13-415,,13-415,family=Cap/Component (alias-looking record),convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-CAP-BDOT-17-415,,17-415,family=Cap/Component (alias-looking record),convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,BB-ALU250SPRYBL,Alu250SpryBl,20-410,family=Aluminum Bottle is not a component family,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,BB-CREAMJARAMB5MLSLCAP,CreamJarAmb5mlSlcap,37mm,family=Cream Jar is not a component family,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-CLS-BLK-06,CJ30BlkCap,Press-Fit,family=Cap/Closure,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-CLS-SLV-02,CJ30SlCap,Press-Fit,family=Cap/Closure,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-CLS-BLK-07,CJ40BlkCap,Press-Fit,family=Cap/Closure,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-CLS-SLV-03,CJ40SlCap,Press-Fit,family=Cap/Closure,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-CLS-BLK-08,CJ5BlkCap,Press-Fit,family=Cap/Closure,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-CLS-SLV-04,CJ5SlCap,Press-Fit,family=Cap/Closure,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-CLS-GLD-02,CPKeyChnGld,Specialty,family=Cap/Closure,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
component,CMP-CLS-GDRD,CPTslRed,Specialty,family=Cap/Closure,convex:products (dev) 2026-09-25,classify type / confirm neck before listing
