graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
GB-ELG-CLR-30ML-SPR-SSLV,GBElg30SpryShnSl,Elegant,"Elegant design 30 ml, clear glass bottle with sprayer and shiny silver cap. For use with cologne, perfume, air freshner, face and body spray, or room spray. Classic, Elegant design is a family of bottles availabel in many sizes. Price each",Clear,30 ml (1.01 oz),none,,
GB-CYL-CLR-28ML-RBL-WHT,GBCyl1ozRollWht,Cylinder,"Cylinder style 28 ml bottle with plastic roller ball plug and white cap. For use with fragrances, oils, massage oils, light lotions and ointments. Roll-on plug has a large roller ball. Price Each",Clear,28 ml (0.95 oz),none,,
LB-CYL-CLR-25ML-LPM-SGLD,LBCyl25LtnShnGl,Cylinder,"Cylinder design 25ml clear glass bottle with shiny gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Cylinder design is a family of bottles available in 25m",Clear,25 ml (0.85 oz),none,,
LB-CYL-CLR-25ML-LPM-SBLK,LBCyl25LtnShnBlk,Cylinder,"Cylinder design 25ml clear glass bottle with shiny black lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Cylinder design is a family of bottles available in 25",Clear,25 ml (0.85 oz),none,,
LB-CYL-CLR-25ML-LPM-MSLV,LBCyl25LtnMtSl,Cylinder,"Cylinder design 25ml clear glass bottle with matte silver lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Cylinder design is a family of bottles available in 2",Clear,25 ml (0.85 oz),none,,
LB-CYL-CLR-25ML-LPM-SSLV,LBCyl25LtnShnSl,Cylinder,"Cylinder design 25ml clear glass bottle with shiny silver lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Cylinder design is a family of bottles available in 2",Clear,25 ml (0.85 oz),none,,
LB-CYL-CLR-25ML-LPM-CPR,LBCyl25LtnCu,Cylinder,"Cylinder design 25ml clear glass bottle with matte copper lotion pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Cylinder design is a family of bottles available in 25ml, 50ml and 100ml sizes.",Clear,25 ml (0.85 oz),none,,
ACC-ORG-CHGN-4X6,OBagChGreen4x6,Gift Bag,"Christmas green Organza / sheer gusseted gift bag. Size : 4"" x 6""",Green,0 ml (0 oz),none,,
ACC-RCB-9X12,RecloseableBags9x12,Packaging Supply,9inches x 12inches Recloseable Plastic Bags. 100 pieces per packet.,,0 ml (0 oz),none,,
GB-RCT-CLR-10ML-MRL,GBTallRect10MtlRollPinkDo,Rectangle,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with metal roller ball plug and pink cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, slender bottle with attractive heavy base. Price",Clear,10 ml (0.34 oz),none,,
PKG-BOX-BRN-4X4X4,,Unknown,Corrugated Box 4 x 4 x 4. 32 lbs ECT,Clear,0.0 ml,none,,
CMP-CAP-BDOT-17-415,,Cap/Component,Black with dots cap or closure for rollon bottles. Metal shell cap with plastic insert that has special features for pre,Clear,0.0 ml,none,,
PKG-BOX-WHT-WINDOW-SM,,Gift Box,Plain White folding carton box with window. Size 0.75,Clear,0.0 ml,none,,
CMP-CAP-SBLK-13-415,,Cap/Component,Short shiny black or closure for glass bottle with foam liner. Thread size 13-415,Clear,0.0 ml,none,,
CMP-SPR-RED-02,GBATom5RedBurg,Sprayer,Sprayer Red,,,none,,
