thread,scope,observation,action
13-425,16 vial rows,"Every bottle row has an empty Convex component list, although two standalone short-cap records and cap assemblies exist.",Resolve exact cap links and any source-evidenced dropper/reducer SKU; do not assume all physical assemblies from thread alone.
13-425,CP13-425Blk / CP13-425Wht,The black component record links to a 20-400 cap page; the white record links to an unrelated dropper page. Their IDs and neck labels alone do not validate standalone product identity.,Find exact 13-425 component pages or supplier SKUs and replace the bad URLs only after identity is established.
13-425,2 mL blue vial,Legacy source also shows a white-cap blue 2 mL assembly not present among the current 16 bottle rows.,Check exact SKU and sellability before adding a missing assembly.
13-425,GBVBlu1o9BlackCapSht,Cached legacy exact-SKU result says 2 mL and the current white-cap sibling says 2 mL; Convex capacityMl is 3.0. The stored black-cap URL currently returns a product-unavailable page.,Confirm the black-cap SKU with Best Bottles and reconcile capacity before using the Convex 2/3 mL buckets as product labels.
13-425,Green 5/8-dram vial labels,"The general Best Bottles vial guide calls colored small vials 2 mL, while the exact green 5/8-dram product pages list 3 mL and 13-425.",Use exact-SKU pages for the current sheet and resolve the general-guide wording with Best Bottles.
13-425,GBVGreen2o4BlackCapSht,The current Convex/Shopify primary image URL returned HTTP 404 during source preparation; the Best Bottles legacy GIF remains available.,Repair the primary image URL using an exact-SKU source asset; keep the legacy fallback until the replacement is verified.
8-425,Five cap choices,Four vial rows each list five cap records; tall-cap choices are not represented as exact vial assemblies.,Verify liner/seating and exact sellable pairing before exposing tall caps on every vial.
8-425,Local master closure filenames,"The five master closure images used for this 8-425 panel are stored with an 8-245 filename prefix, while exact cap SKUs and website pages say 8-425.",Correct media archive labeling after confirming file-to-SKU mapping; do not change the verified product neck.
12 mm,3 and 4 mL Cylinder sprays,Four sold black/white spray assemblies; zero standalone component rows or selector lists.,Represent black/white spray as assembly evidence until exact standalone SKUs and seating are established.
14-425,Requested possible thread,"No matching rows in the current 2,540-record Convex export.",Keep separate and unpopulated pending an exact product SKU or source page.
