Scenario,Group,Title,Verdict,Failed checks,Check,Passed,Severity,Detail,Tool calls,Duration (ms),Error
A1a,A,"What are the full details of SKU GB-BSR-CLR-15ML-BLK-S — size, color, ",pass,0,Produces a reply on every turn,PASS,critical,All turns answered.,1,0,
A1a,A,"What are the full details of SKU GB-BSR-CLR-15ML-BLK-S — size, color, ",pass,0,No false 'we don't carry that',PASS,critical,No denial language.,1,0,
A1a,A,"What are the full details of SKU GB-BSR-CLR-15ML-BLK-S — size, color, ",pass,0,Executed catalog tools,PASS,soft,1 tool call(s).,1,0,
A1b,A,"Tell me everything about GB-CYL-CLR-9ML-T-08: capacity, applicator, ne",pass,0,Produces a reply on every turn,PASS,critical,All turns answered.,1,0,
A1b,A,"Tell me everything about GB-CYL-CLR-9ML-T-08: capacity, applicator, ne",pass,0,No false 'we don't carry that',PASS,critical,No denial language.,1,0,
A1b,A,"Tell me everything about GB-CYL-CLR-9ML-T-08: capacity, applicator, ne",pass,0,Executed catalog tools,PASS,soft,1 tool call(s).,1,0,
A1c,A,What is GB-ELG-CLR-60ML-RDC and what does it cost?,pass,0,Produces a reply on every turn,PASS,critical,All turns answered.,1,0,
A1c,A,What is GB-ELG-CLR-60ML-RDC and what does it cost?,pass,0,No false 'we don't carry that',PASS,critical,No denial language.,1,0,
A1c,A,What is GB-ELG-CLR-60ML-RDC and what does it cost?,pass,0,Executed catalog tools,PASS,soft,1 tool call(s).,1,0,
A1d,A,"Details on GB-EMP-CLR-50ML-DRP-GLD please — size, closure, price.",pass,0,Produces a reply on every turn,PASS,critical,All turns answered.,1,0,
A1d,A,"Details on GB-EMP-CLR-50ML-DRP-GLD please — size, closure, price.",pass,0,No false 'we don't carry that',PASS,critical,No denial language.,1,0,
A1d,A,"Details on GB-EMP-CLR-50ML-DRP-GLD please — size, closure, price.",pass,0,Executed catalog tools,PASS,soft,1 tool call(s).,1,0,
A2,A,Compare the 15ml clear Boston Round with the 60ml clear Elegant — size,pass,0,Produces a reply on every turn,PASS,critical,All turns answered.,2,0,
A2,A,Compare the 15ml clear Boston Round with the 60ml clear Elegant — size,pass,0,No false 'we don't carry that',PASS,critical,No denial language.,2,0,
A2,A,Compare the 15ml clear Boston Round with the 60ml clear Elegant — size,pass,0,Executed catalog tools,PASS,soft,2 tool call(s).,2,0,
A3a,A,Do you have the bostn round 15ml clear bottle?,pass,0,Produces a reply on every turn,PASS,critical,All turns answered.,2,0,
A3a,A,Do you have the bostn round 15ml clear bottle?,pass,0,No false 'we don't carry that',PASS,critical,No denial language.,2,0,
A3a,A,Do you have the bostn round 15ml clear bottle?,pass,0,Executed catalog tools,PASS,soft,2 tool call(s).,2,0,
A3b,A,Looking for a 9ml cilinder roll on in frosted glass.,pass,0,Produces a reply on every turn,PASS,critical,All turns answered.,3,0,
A3b,A,Looking for a 9ml cilinder roll on in frosted glass.,pass,0,No false 'we don't carry that',PASS,critical,No denial language.,3,0,
A3b,A,Looking for a 9ml cilinder roll on in frosted glass.,pass,0,Executed catalog tools,PASS,soft,3 tool call(s).,3,0,
B4,B,What is the price of GB-CYL-CLR-9ML-T-08?,pass,0,Produces a reply on every turn,PASS,critical,All turns answered.,3,0,
