graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
CMP-DRP-WHT-18400-66,Drp18-40015mlWhiteBulb,Dropper,"White rubber bulb dropper with white cap. Glass stem length is 66 mm, Thread size 18-400",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-WHT-18400-66.png
CMP-DRP-BKSL-18400-66,Drp18-40015mlShnSlTrimBlkBulb,Dropper,"Black rubber bulb dropper with shiny silver collar cap. Glass stem length is 66 mm, Thread size 18-400",Black,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-BKSL-18400-66.png
CMP-DRP-WTGD-18400-66,Drp18-40015mlShnGlTrimWhiteBulb,Dropper,"White rubber bulb dropper with shiny gold collar cap. Glass stem length is 66 mm, Thread size 18-400",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-WTGD-18400-66.png
CMP-DRP-BKGD-18400-66,Drp18-40015mlShnGlTrimBlkBulb,Dropper,"Black rubber bulb dropper with shiny gold collar cap. Glass stem length is 66 mm, Thread size 18-400",Black,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-BKGD-18400-66.png
CMP-DRP-WTSL-18400-66,Drp18-40015mlShnSlTrimWhiteBulb,Dropper,"White rubber bulb dropper with shiny silver collar cap. Glass stem length is 66 mm, Thread size 18-400",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-WTSL-18400-66.png
CMP-DRP-WHT-20400-76,Drp20-4001ozWhiteBulb,Dropper,"White rubber bulb dropper with white cap. Glass stem length is 76 mm, Thread size 20-400",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-WHT-20400-76.png
CMP-DRP-BKSL-20400-76,Drp20-4001ozShnSlTrimBlkBulb,Dropper,"Black rubber bulb dropper with shiny silver collar cap. Glass stem length is 76 mm, Thread size 20-400",Black,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-BKSL-20400-76.png
CMP-DRP-WTGD-20400-76,Drp20-4001ozlShnGlTrimWhiteBulb,Dropper,"White rubber bulb dropper with shiny gold collar cap. Glass stem length is 76 mm, Thread size 20-400",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-WTGD-20400-76.png
CMP-DRP-BKGD-20400-76,Drp20-4001ozShnGlTrimBlkBulb,Dropper,"Black rubber bulb dropper with shiny gold collar cap. Glass stem length is 76 mm, Thread size 20-400",Black,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-BKGD-20400-76.png
GB-VIA-CLR-3ML-S-02,GBV1DrmWhtCapSht,Vial,"Vial design 1 dram Clear glass vial with white short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions. Price each",Clear,4 ml (0.14 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/aios-shopify-pdp-images/00-input/legacy-reference/vial/madison-upload-png/GB-VIA-CLR-3ML-S-02__GBV1DrmWhtCapSht__legacy-reference__v001.png
CMP-DRP-WTSL-20400-76,Drp20-4001ozlShnSlTrimWhiteBulb,Dropper,"White rubber bulb dropper with shiny silver collar cap. Glass stem length is 76 mm, Thread size 20-400",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-WTSL-20400-76.png
CMP-DRP-WHT-20400-90,Drp20-4002ozWhiteBulb,Dropper,"White rubber bulb dropper with white cap. Glass stem length is 90 mm, Thread size 20-400",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-WHT-20400-90.png
CMP-DRP-BKSL-20400-90,Drp20-4002ozShnSlTrimBlkBulb,Dropper,"Black rubber bulb dropper with shiny silver collar cap. Glass stem length is 90 mm, Thread size 20-400",Black,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-BKSL-20400-90.png
CMP-DRP-WTGD-20400-90,Drp20-4002ozlShnGlTrimWhiteBulb,Dropper,"White rubber bulb dropper with shiny gold collar cap. Glass stem length is 90 mm, Thread size 20-400",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-WTGD-20400-90.png
CMP-DRP-BKGD-20400-90,Drp20-4002ozShnGlTrimBlkBulb,Dropper,"Black rubber bulb dropper with shiny gold collar cap. Glass stem length is 90 mm, Thread size 20-400",Black,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-BKGD-20400-90.png
CMP-DRP-WTSL-20400-90,Drp20-4002ozlShnSlTrimWhiteBulb,Dropper,"White rubber bulb dropper with shiny silver collar cap. Glass stem length is 90 mm, Thread size 20-400",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-WTSL-20400-90.png
CMP-DRP-SGLD-18415,Drp18-415Gl,Dropper,White rubber bulb dropper with shiny gold collar cap. Thread size 18-415,White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-SGLD-18415.png
CMP-DRP-SSLV-18415,Drp18-415Sl,Dropper,White rubber bulb dropper with shiny silver collar cap. Thread size 18-415,White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/dropper/dropper-unknown-size-unknown-applicator/cap-on/CMP-DRP-SSLV-18415.png
CMP-CAP-WHT-8-425,8-425CpShortWhite,Cap/Closure,"White lid or closure for glass bottle, Thread size 8-425",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cap-closure/cap-closure-unknown-size-unknown-applicator/cap-on/CMP-CAP-WHT-8-425.png
CMP-CAP-SSLV-8425-T,CP8-425TallShnSl,Cap/Closure,"Tall shiny silver lid or closure for glass bottle, Thread size 8-425",Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cap-closure/cap-closure-unknown-size-unknown-applicator/cap-on/CMP-CAP-SSLV-8425-T.png
CMP-CAP-SGLD-8425-T,CP8-425TallShnGl,Cap/Closure,"Tall shiny gold lid or closure for glass bottle, Thread size 8-425",Gold,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cap-closure/cap-closure-unknown-size-unknown-applicator/cap-on/CMP-CAP-SGLD-8425-T.png
CMP-CAP-WHT-S-13-415,CP13-415WhtSht,Roll-On Cap,"White lid or closure for glass bottle, Thread size 13-415",White,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-CAP-WHT-S-13-415.png
CMP-CAP-SLV-13-415-01,CP13-415Sl,Roll-On Cap,"Shiny silver lid or closure for glass bottle, Thread size 13-415",Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-CAP-SLV-13-415-01.png
CMP-CAP-SGLD-13-415-01,CP13-415Gl,Roll-On Cap,"Shiny gold lid or closure for glass bottle, Thread size 13-415",Gold,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-CAP-SGLD-13-415-01.png
CMP-ROC-SLV-13415-DOT,CPRoll13-415SlDot,Roll-On Cap,"Silver cap with dots or closure for rollon bottles, Threadsize 13-415",Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-SLV-13415-DOT.png
CMP-ROC-MSLV-13415,CPRoll13-415SlMt,Roll-On Cap,"Matte silver cap or closure for rollon bottles, Threadsize 13-415",Silver,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-MSLV-13415.png
CMP-ROC-PNK-13415-DOT,CPRoll13-415PinkDot,Roll-On Cap,"Pink cap with dots or closure for rollon bottles, Threadsize 13-415",Pink,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-PNK-13415-DOT.png
CMP-ROC-MGLD-13415,CPRoll13-415GlMt,Roll-On Cap,"Matte Gold cap or closure for rollon bottles, Threadsize 13-415",Gold,0 ml (0 oz),none,,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/roll-on-cap/roll-on-cap-unknown-size-unknown-applicator/cap-on/CMP-ROC-MGLD-13415.png
