thread,websiteSku,convexCategory,capacityMl,siteSku,siteThread,siteStatus,componentListType,componentCount,issue,interpretation,proposedRemedy,sourceUrl
16mm,GBCyl1ozRollWht,Glass Bottle,28.0,GBCyl1ozRollWht,16mm,match,list,0,empty component list,"Exact assembled product on source site; roller material and cap color are visible, but no standalone 16 mm part SKU exists in this thread export.","Preserve the assembly SKU. Verify or create distinct plastic insert, metal insert, black cap, and white cap identities before adding BOM links.",https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-plastic-roll-on-and-white-cap
16mm,GBMtlRoll28Blk,Glass Bottle,28.0,GBMtlRoll28Blk,16mm,match,list,0,empty component list,"Exact assembled product on source site; roller material and cap color are visible, but no standalone 16 mm part SKU exists in this thread export.","Preserve the assembly SKU. Verify or create distinct plastic insert, metal insert, black cap, and white cap identities before adding BOM links.",https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-metal-roll-on-and-black-cap
16mm,GBMtlRoll28Wht,Glass Bottle,28.0,GBMtlRoll28Wht,16mm,match,list,0,empty component list,"Exact assembled product on source site; roller material and cap color are visible, but no standalone 16 mm part SKU exists in this thread export.","Preserve the assembly SKU. Verify or create distinct plastic insert, metal insert, black cap, and white cap identities before adding BOM links.",https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-metal-roll-on-and-white-cap
16mm,GBRoll28Blk,Glass Bottle,28.0,GBRoll28Blk,16mm,match,list,0,empty component list,"Exact assembled product on source site; roller material and cap color are visible, but no standalone 16 mm part SKU exists in this thread export.","Preserve the assembly SKU. Verify or create distinct plastic insert, metal insert, black cap, and white cap identities before adding BOM links.",https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-plastic-roll-on-and-black-cap
16mm,GBCyl50MtlRollBlk,Glass Bottle,50.0,GBCyl50MtlRollBlk,16mm,match,list,0,empty component list,"Exact assembled product on source site; roller material and cap color are visible, but no standalone 16 mm part SKU exists in this thread export.","Preserve the assembly SKU. Verify or create distinct plastic insert, metal insert, black cap, and white cap identities before adding BOM links.",https://www.bestbottles.com/product/cylinder-style-50-ml-glass-bottle-metal-roll-on-and-black-cap
16mm,GBCyl50MtlRollWht,Glass Bottle,50.0,GBCyl50MtlRollWht,16mm,match,list,0,empty component list,"Exact assembled product on source site; roller material and cap color are visible, but no standalone 16 mm part SKU exists in this thread export.","Preserve the assembly SKU. Verify or create distinct plastic insert, metal insert, black cap, and white cap identities before adding BOM links.",https://www.bestbottles.com/product/cylinder-style-50-ml-glass-bottle-metal-roll-on-and-white-cap
16mm,GBCyl50RollBlk,Glass Bottle,50.0,GBCyl50RollBlk,16mm,match,list,0,empty component list,"Exact assembled product on source site; roller material and cap color are visible, but no standalone 16 mm part SKU exists in this thread export.","Preserve the assembly SKU. Verify or create distinct plastic insert, metal insert, black cap, and white cap identities before adding BOM links.",https://www.bestbottles.com/product/cylinder-style-50-ml-glass-bottle-plastic-roll-on-and-black-cap
16mm,GBCyl50RollWht,Glass Bottle,50.0,GBCyl50RollWht,16mm,match,list,0,empty component list,"Exact assembled product on source site; roller material and cap color are visible, but no standalone 16 mm part SKU exists in this thread export.","Preserve the assembly SKU. Verify or create distinct plastic insert, metal insert, black cap, and white cap identities before adding BOM links.",https://www.bestbottles.com/product/cylinder-style-50-ml-glass-bottle-plastic-roll-on-and-white-cap
20-410,Alu65mlLotionPumpBlack,Aluminum Bottle,65.0,Alu65mlLotionPumpBlack,20-410,match,list,1,wrong object in component list,"Component list points to BB-ALU250SPRYBL, a complete 250 mL bottle; this proves an identity error, not a physical thread misfit.",Remove the 250 mL whole-bottle selection from this row; attach only verified standalone part SKUs for its exact sold assembly.,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-65ml-bottle-black-lotion-pump
20-410,Alu65mlLotionPumpWhite,Aluminum Bottle,65.0,Alu65mlLotionPumpWhite,20-410,match,list,1,wrong object in component list,"Component list points to BB-ALU250SPRYBL, a complete 250 mL bottle; this proves an identity error, not a physical thread misfit.",Remove the 250 mL whole-bottle selection from this row; attach only verified standalone part SKUs for its exact sold assembly.,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-65ml-bottle-white-lotion-pump
