# Best Bottles — 301 Redirect Map (Stage 5)
# Date: 2026-05-23
# Target cutover: 2026-06-15
# Source: Stage 0 raw legacy fetch (raw/legacy-homepage-fetch-2026-05-23.md) + Stage 3 legacy equity baseline.
# Format: legacy_url,new_url,status_code,priority,notes
#
# ============================================================
# IMPLEMENTATION GUIDE
# ============================================================
#
# 1. Convert this CSV into the Next.js `redirects()` source. The simplest path is a
#    static array imported by `next.config.ts`:
#
#    // src/lib/redirects.ts
#    export type RedirectEntry = { source: string; destination: string; permanent: boolean };
#    export const REDIRECTS: RedirectEntry[] = [
#      { source: "/index.php", destination: "/", permanent: true },
#      { source: "/faq.php", destination: "/resources", permanent: true },
#      { source: "/contact-us.php", destination: "/contact", permanent: true },
#      { source: "/filling-capping-labeling-perfume-bottles-atomizers.php", destination: "/services/contract-packaging", permanent: true },
#      { source: "/all-bottles/Perfume-vials-glass-bottles/Perfume-glas-bottle-vials-purchase.php", destination: "/collections/perfume-vials-bottles", permanent: true },
#      // ... 145 more entries from this CSV
#    ];
#
#    // next.config.ts
#    import { REDIRECTS } from "./src/lib/redirects";
#    const nextConfig = {
#      async redirects() { return REDIRECTS; },
#      // ...
#    };
#
# 2. For QUERYSTRING-DRIVEN redirects (?subcat=NN), Next.js `redirects()` supports
#    `has: [{ type: "query", key: "subcat", value: "66" }]` matchers. Example:
#
#    {
#      source: "/all-bottles/Perfume-vials-glass-bottles/perfume-vials-glass-bottles-cobalt-blue-amber-essential-oils-aromatherapy.php",
#      has: [{ type: "query", key: "subcat", value: "66" }],
#      destination: "/collections/boston-round-bottles-amber-cobalt",
#      permanent: true,
#    },
#
#    Order matters — list each subcat variant BEFORE the bare-PHP fallback, since
#    Next.js matches in order.
#
# 3. For very large redirect maps (>1000 entries) Vercel recommends middleware OR an
#    edge config blob. ~150 entries are well within `next.config.ts` capacity.
#
# 4. Trailing-slash + apex (non-www) → www handled at Vercel domain config level
#    (BB-SEO-212) plus `trailingSlash: false` in next.config.ts. Do NOT add per-route
#    trailing-slash entries to this CSV.
#
# 5. Test every entry after deploy with:
#    curl -sI "https://www.bestbottles.com/<legacy-path>" | grep -iE "(HTTP|location)"
#    Expected: HTTP/2 301 + Location: https://www.bestbottles.com/<new-path>
#
# 6. Priorities legend (column 4):
#    1 = Highest equity (homepage, top-level categories, contract-packaging, PDF) — MUST work day 1
#    2 = High equity (subcategory landing pages, top-10 PDPs by traffic, informational)
#    3 = Medium equity (long-tail subcategory variants, individual PDPs)
#    4 = Low equity (utility, modals, deprecated)
#
# ============================================================
# CSV BEGINS BELOW (header row first)
# ============================================================
legacy_url,new_url,status_code,priority,notes
# --- Brand entry-points (homepage variants) ---
/,/,308,1,Apex slash. Handled by Vercel domain config + Next.js default. No explicit rule needed but document for completeness.
/index.php,/,301,1,Legacy homepage entry point. External links may use this exact URL.
/default.php,/,301,1,Common PHP default fallback. Catch in case any external sites link this form.
/home.php,/,301,1,Defensive fallback for legacy home variant.
# --- Top-level category landing pages (4 entries) ---
/all-bottles/Perfume-vials-glass-bottles/Perfume-glas-bottle-vials-purchase.php,/collections/perfume-vials-bottles,301,1,"Category 1 of 4. FIX: verify /collections/perfume-vials-bottles exists per BB-SEO-217 build-out. Fallback: /catalog?families=Empire,Cylinder,Boston%20Round"
/all-bottles/Perfume-atomizer-aluminum-bottle-cans/Perfume-atomizer-Aluminum-bottle-cans-purchase.php,/collections/atomizers-sprayers-aluminum,301,1,"Category 2 of 4. FIX: verify new collection slug. Fallback: /catalog?applicators=spray"
/all-bottles/accessories/velvet-bags-organza-gusseted-bags-gift-box-purchase.php,/collections/accessories-packaging,301,1,"Category 3 of 4. FIX: verify new collection slug. Fallback: /catalog?componentType=accessory"
/all-bottles/lotion-pump-cream-jars/lotion-pumps-bottles-cream-jars-purchase.php,/collections/cream-jars-lotion-bottles,301,1,"Category 4 of 4. FIX: verify new collection slug. Fallback: /catalog?families=Cream%20Jar"
# --- Sub-category landing pages (Perfume Vials family) ---
/all-bottles/Perfume-vials-glass-bottles/perfume-vials-glass-bottles-cobalt-blue-amber-essential-oils-aromatherapy.php,/collections/perfume-vials-glass-bottles,301,2,Bare-PHP version (no querystring). High-equity per Stage 3 §5 — Boston Round category target.
/all-bottles/Perfume-vials-glass-bottles/roll-on-roller-bottles-frosted-black-silver-gold-white-caps.php,/collections/roll-on-bottles,301,2,Roll-on family landing. Stage 3 §5 top-5 equity URL.
/all-bottles/Perfume-vials-glass-bottles/small-decorative-gift-perfume-bottles-heart-shape-sun-moon-genie.php,/collections/decorative-perfume-bottles,301,2,Small decorative family.
/all-bottles/Perfume-vials-glass-bottles/large-perfume-bottles-decorative-apothecary-style-bottles.php,/collections/decorative-apothecary-bottles,301,2,Large decorative + apothecary combined landing.
/all-bottles/Perfume-vials-glass-bottles/large-perfume-bottles-decorative.php,/collections/large-decorative-perfume-bottles,301,3,Large-decorative-only variant.
/all-bottles/Perfume-vials-glass-bottles/apothecary-style-bottles.php,/collections/apothecary-style-bottles,301,3,Apothecary-only variant.
/all-bottles/Perfume-vials-glass-bottles/perfume-bottles-with-metal-and-beads.php,/collections/perfume-bottles-metal-beads,301,3,Metal-and-beads decorative family.
# --- Sub-category landing pages (Atomizer / Sprayer / Aluminum family) ---
