componentId,sellable,graceSku,websiteSku,type,neck,finish,capColor,capStyle,color,trimColor,applicator,convexFamily,itemName,status,typeEvidence,dotted,rollerMaterial,psdStem,psdLibrary,psdPath,psdFolder,psdMatch,psdCanvas,psdHiddenLayers,stockStatus,imageUrl,productUrl,source,confidence
CMP-PLUG-BLK-VIAL,True,CMP-PLUG-BLK-VIAL,REF-CMP-PLUG-BLK-VIAL,plug-applicator,,Black,Black,,,,Applicator Cap,Plug/Applicator,Black plug applicator for 1ml vial,quarantine,family=Plug/Applicator,False,,,,,,,,,,,,convex:products (dev) 2026-09-25,low
CMP-PLUG-WHT-VIAL,True,CMP-PLUG-WHT-VIAL,REF-CMP-PLUG-WHT-VIAL,plug-applicator,,White,White,,,,Applicator Cap,Plug/Applicator,White plug applicator for 1ml vial,quarantine,family=Plug/Applicator,False,,,,,,,,,,,,convex:products (dev) 2026-09-25,low
CMP-ROC-WHT-03,True,CMP-ROC-WHT-03,CPWhite1Oz,roll-on-cap,,White,White,Roll-On,,,Plastic Roller Ball,Roll-On Cap,Roll-On Cap White,quarantine,family=Roll-On Cap,False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/caps-lids-top-roll-on-bottle-black-dot-color-13-415,convex:products (dev) 2026-09-25,low
CMP-SPR-LVN-BULB,True,CMP-SPR-LVN-BULB,AntqSprBulbLavender,vintage-bulb-sprayer,,Lavender,Lavender,,,,N/A,Sprayer,Antique Sprayer Bulb Lavender,quarantine,family=Sprayer; SKU/name says bulb,False,,,,,,,,,In Stock,,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Lavender,convex:products (dev) 2026-09-25,low
CMP-CAP-BLK-13-415-01,True,CMP-CAP-BLK-13-415-01,CP13-415SpryBlkMt,cap,13-415,Black,Black,Spray,Black,,Fine Mist Sprayer,Cap/Closure,Cap/Closure Thread 13-415,current,family=Cap/Closure,False,,Spry13-415BlkMt,20. Caps,18. 13-415 Sprayers/1. Spry13-415BlkMt.psd,18. 13-415 Sprayers,alias-map,"[570, 1060]",0,In Stock,,https://www.bestbottles.com/product/spray-top-matte-black-13-415,convex:products (dev) 2026-09-25,high
CMP-CAP-BLK-13-415-02,True,CMP-CAP-BLK-13-415-02,CP13-415SpryBlkSh,cap,13-415,Black,Black,Spray,Black,,Fine Mist Sprayer,Cap/Closure,Cap/Closure Thread 13-415,current,family=Cap/Closure,False,,Spry13-415BlkSh,20. Caps,18. 13-415 Sprayers/3. Spry13-415BlkSh.psd,18. 13-415 Sprayers,alias-map,"[658, 1218]",0,In Stock,,https://www.bestbottles.com/product/spray-top-shiny-black-13-415,convex:products (dev) 2026-09-25,high
CMP-CAP-13-415,True,CMP-CAP-13-415,CP13-415SpryBluMt,cap,13-415,Blue,Blue,Spray,Blue,,Fine Mist Sprayer,Cap/Closure,Cap/Closure Thread 13-415,current,family=Cap/Closure,False,,Spry13-415BluMt,20. Caps,18. 13-415 Sprayers/4. Spry13-415BluMt.psd,18. 13-415 Sprayers,alias-map,"[570, 1060]",0,In Stock,,https://www.bestbottles.com/product/spray-top-matte-blue-13-415,convex:products (dev) 2026-09-25,high
CMP-CAP-SGLD-13-415-02,True,CMP-CAP-SGLD-13-415-02,CP13-415SpryGlMt,cap,13-415,Shiny Gold,Shiny Gold,Spray,Gold,,Fine Mist Sprayer,Cap/Closure,Cap/Closure Thread 13-415,current,family=Cap/Closure,False,,Spry13-415GlMt,20. Caps,18. 13-415 Sprayers/6. Spry13-415GlMt.psd,18. 13-415 Sprayers,alias-map,"[570, 1060]",0,In Stock,,https://www.bestbottles.com/product/spray-top-matte-gold-13-415,convex:products (dev) 2026-09-25,high
CMP-CAP-SGLD-13-415-03,True,CMP-CAP-SGLD-13-415-03,CP13-415SpryGlSh,cap,13-415,Shiny Gold,Shiny Gold,Spray,Gold,,Fine Mist Sprayer,Cap/Closure,Cap/Closure Thread 13-415,current,family=Cap/Closure,False,,Spry13-415GlSh,20. Caps,18. 13-415 Sprayers/5. Spry13-415GlSh.psd,18. 13-415 Sprayers,alias-map,"[570, 1060]",0,In Stock,,https://www.bestbottles.com/product/spray-top-shiny-gold-13-415,convex:products (dev) 2026-09-25,high
CMP-CAP-SLV-13-415-02,True,CMP-CAP-SLV-13-415-02,CP13-415SprySlMt,cap,13-415,Silver,Silver,Spray,Silver,,Fine Mist Sprayer,Cap/Closure,Cap/Closure Thread 13-415,current,family=Cap/Closure,False,,Spry13-415SlMt,20. Caps,18. 13-415 Sprayers/7. Spry13-415SlMt.psd,18. 13-415 Sprayers,alias-map,"[578, 1046]",0,In Stock,,https://www.bestbottles.com/product/spray-top-matte-silver-13-415,convex:products (dev) 2026-09-25,high
