"format","example_sku","matrix_status","caps","fine_mist_sprayers","roll_on_caps","metal_roller_inserts","plastic_roller_inserts","review_note"
"Cylinder 5 mL","GBCyl5BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Tulip 5 mL","GBTulipAmb5BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Sleek 5 mL","GBSleek5BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Tulip 6 mL","GBTulip6BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Sleek 8 mL","GBSleek8BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Pillar 9 mL","GBPillar9BlkShSht","served","0","0","0","0","0","No component choices; exact assembly/component identity needs review"
"Tall Cylinder 9 mL","GBTallCyl9BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Bell 10 mL","GBBell10BlkShSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Rectangle 10 mL","GBRect10BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Tall Rectangle 10 mL","GBTallRect10BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Royal 13 mL","GBRoyal13BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Circle 15 mL","GBCrcl15BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Elegant 15 mL","GBElg15BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Flair 15 mL","GBFlair15BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
"Square 15 mL","GBSqr15BlkSht","served","4","8","9","0","0","Served counts do not prove every exact assembly seats correctly"
