websiteSku,graceSku,convexFamily,convexThread,convexApplicator,sourceCheckedType,proposedAction,productUrl
,CMP-CAP-BDOT-17-415,Cap/Component,17-415,N/A,Possible cap alias,Resolve identity against CpRoll17-415BlkDot before listing; do not count twice,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Black-Dot-Color-17-415
Droppers1ozElg,CMP-DRP-AMB,Dropper,17-415,Dropper,Wrong-thread dropper,Remove 17-415 association; website states 18-400,https://www.bestbottles.com/product/dropper-black-rubber-bulb-black-trim-glass-pipette-15ml
CpRoll17-415BlkDot,CMP-ROC-BLK-17415-DOT,Roll-On Cap,17-415,Plastic Roller Ball,Roll-on outer cap,Keep one exact cap variant; allow plastic and metal roller assemblies,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Black-Dot-Color-17-415
CpRoll17-415Cu,CMP-ROC-CPR-17415,Roll-On Cap,17-415,Plastic Roller Ball,Roll-on outer cap,Keep one exact cap variant; allow plastic and metal roller assemblies,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Matte-Copper-Color-17-415
CpRoll17-415MattGl,CMP-ROC-MGLD-17415,Roll-On Cap,17-415,Plastic Roller Ball,Roll-on outer cap,Keep one exact cap variant; allow plastic and metal roller assemblies,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Matte-Gold-Color-17-415
CpRoll17-415MattSl,CMP-ROC-MSLV-17415,Roll-On Cap,17-415,Plastic Roller Ball,Roll-on outer cap,Keep one exact cap variant; allow plastic and metal roller assemblies,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Matte-Silver-Color-17-415
CpRoll17-415PnkDot,CMP-ROC-PNK-17415-DOT,Roll-On Cap,17-415,Plastic Roller Ball,Roll-on outer cap,Keep one exact cap variant; allow plastic and metal roller assemblies,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Pink-Dot-Color-17-415
CpRoll17-415ShnBlk,CMP-ROC-SBLK-17415,Roll-On Cap,17-415,Plastic Roller Ball,Roll-on outer cap,Keep one exact cap variant; allow plastic and metal roller assemblies,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Shiny-Black-Color-17-415
CpRoll17-415ShnGl,CMP-ROC-SGLD-17415,Roll-On Cap,17-415,Plastic Roller Ball,Roll-on outer cap,Keep one exact cap variant; allow plastic and metal roller assemblies,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Shiny-Gold-Color-17-415
CpRoll17-415ShnSl,CMP-ROC-SSLV-17415,Roll-On Cap,17-415,Plastic Roller Ball,Roll-on outer cap,Keep one exact cap variant; allow plastic and metal roller assemblies,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Shiny-Silver-Color-17-415
CpRoll17-415SlDot,CMP-ROC-SLV-17415-DOT,Roll-On Cap,17-415,Plastic Roller Ball,Roll-on outer cap,Keep one exact cap variant; allow plastic and metal roller assemblies,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-Silver-Dot-Color-17-415
CpRoll17-415White,CMP-ROC-WHT-17415,Roll-On Cap,17-415,Plastic Roller Ball,Roll-on outer cap,Keep one exact cap variant; allow plastic and metal roller assemblies,https://www.bestbottles.com/product/Caps-lids-top-roll-on-bottle-White-Color-17-415
Ltn17-415Blk,CMP-LPM-BLK-17-415,Roll-On Cap,17-415,,Treatment/lotion pump,Move out of Roll-On Cap group; keep distinct pump SKU,https://www.bestbottles.com/product/lotion-top-black-color-17-415
Ltn17-415Gl,CMP-LPM-SGLD-17-415,Roll-On Cap,17-415,,Treatment/lotion pump,Move out of Roll-On Cap group; keep distinct pump SKU,https://www.bestbottles.com/product/lotion-top-gold-color-17-415
Ltn17-415MattSl,CMP-LPM-MSLV-17-415,Roll-On Cap,17-415,,Treatment/lotion pump,Move out of Roll-On Cap group; keep distinct pump SKU,https://www.bestbottles.com/product/lotion-top-matte-silver-color-17-415
Spry17-415Blk,CMP-SPR-BLK-17-415-01,Sprayer,17-415,Fine Mist Sprayer,Fine-mist sprayer,Keep in sprayer group; verify exact SKU and tube length,https://www.bestbottles.com/product/spray-top-black-trim-color-17-415
Spry17-415Gl,CMP-SPR-SGLD-17-415,Sprayer,17-415,Fine Mist Sprayer,Fine-mist sprayer,Keep in sprayer group; verify exact SKU and tube length,https://www.bestbottles.com/product/spray-top-gold-color-17-415
Spry17-415MattSl,CMP-SPR-SLV-17-415,Sprayer,17-415,Fine Mist Sprayer,Fine-mist sprayer,Keep in sprayer group; verify exact SKU and tube length,https://www.bestbottles.com/product/spray-top-matte-silver-color-17-415
Spry17-415Red,CMP-SPR-RED-17-415,Sprayer,17-415,Fine Mist Sprayer,Fine-mist sprayer,Keep in sprayer group; verify exact SKU and tube length,https://www.bestbottles.com/product/spray-top-red-color-17-415
Spry17-415ShnSl,CMP-SPR-SSLV-17-415,Sprayer,17-415,Fine Mist Sprayer,Fine-mist sprayer,Keep in sprayer group; verify exact SKU and tube length,https://www.bestbottles.com/product/spray-top-shiny-silver-color-17-415
Spry17-415Tur,CMP-SPR-CLR-17-415,Sprayer,17-415,Fine Mist Sprayer,Fine-mist sprayer,Keep in sprayer group; verify exact SKU and tube length,https://www.bestbottles.com/product/spray-top-turquoise-color-17-415
